City,Latitude,Longitude,Country Code
Bergen,60.39299,5.32415,NO
Stavanger,58.97005,5.73332,NO
Drammen,59.74389,10.20449,NO
Kristiansand,58.14671,7.9956,NO
Oslo,59.91273,10.74609,NO
Lillestrøm,59.95597,11.04918,NO
Tromsø,69.6489,18.95508,NO
Longyearbyen,78.22334,15.64689,NO
Fredrikstad,59.2181,10.9298,NO
Sarpsborg,59.28391,11.10962,NO
Sandnes,58.85244,5.73521,NO
Trondheim,63.43049,10.39506,NO
Barentsburg,78.06435,14.21169,NO
Tønsberg,59.26754,10.40762,NO
Bodø,67.28267,14.37513,NO
Lillehammer,61.11514,10.46628,NO
Hamar,60.7945,11.06798,NO
Skien,59.20962,9.60897,NO
Molde,62.73752,7.15912,NO
Arendal,58.46151,8.77253,NO
Sveagruva,77.90029,16.72006,NO
Olonkinbyen,70.9221,-8.7187,NO
Ny-Ålesund,78.92373,11.92497,NO
Sandefjord,59.13118,10.21665,NO
Asker,59.83333,10.43721,NO
Ålesund,62.47225,6.15492,NO
Steinkjer,64.01487,11.49537,NO
Elverum,60.88191,11.56231,NO
Horten,59.41721,10.48343,NO
Haugesund,59.41378,5.268,NO
