City,Latitude,Longitude,Country Code
Kathmandu,27.70169,85.3206,NP
Pokhara,28.26689,83.96851,NP
Patan,27.67658,85.31417,NP
Birgunj,27.01709,84.8808,NP
Biratnagar,26.45505,87.27007,NP
Bharatpur,27.6768,84.43589,NP
Hetauda,27.42839,85.03219,NP
Dhangadhi,28.70137,80.58975,NP
Dharān,26.81436,87.27972,NP
Nepalgunj,28.05,81.61667,NP
Janakpur Dham,26.72882,85.92628,NP
Lahān,26.72022,86.48258,NP
Butwāl,27.70055,83.44836,NP
Birendranagar,28.59669,81.61658,NP
Madhyapur Thimi,27.68056,85.3875,NP
Rājbirāj,26.53968,86.74796,NP
Mahendranagar,28.96399,80.17715,NP
Kirtipur,27.67872,85.2775,NP
Gulariyā,28.2058,81.34532,NP
Dhankutā,26.98333,87.33333,NP
Siddharthanagar,27.5,83.45,NP
Banepa,27.63245,85.52192,NP
Dipayal,29.26083,80.94,NP
Siraha,26.65422,86.20795,NP
Simikot,29.97142,81.81968,NP
Lumbini,27.48619,83.27714,NP
Panauti̇̄,27.58453,85.51484,NP
Nanche Bazar,27.80528,86.71058,NP
Mustang,29.18321,83.95634,NP
Malaṅgawā,26.85658,85.5594,NP
