City,Latitude,Longitude,Country Code
Alofi,-19.05294,-169.91957,NU
Tuapa,-18.99149,-169.90422,NU
Mutalau,-18.96226,-169.82826,NU
Hakupu,-19.12753,-169.84623,NU
Avatele,-19.1,-169.91667,NU
Makefu,-19.0018,-169.91383,NU
Lakepa,-19.0093,-169.80459,NU
Liku Village,-19.05417,-169.78857,NU
Hikutivake,-18.96478,-169.88339,NU
Fatiau,-19.11667,-169.9,NU
Toi,-18.97399,-169.85327,NU
Mamakula,-18.95,-169.9,NU
Mutalau,-18.96206,-169.82954,NU
Liku,-19.05388,-169.78971,NU
Avatele,-19.12449,-169.91138,NU
Makefu Village,-19.00216,-169.91429,NU
Tuapa Village,-18.99266,-169.90391,NU
Namukulu Village,-18.98361,-169.89803,NU
Vaiea,-19.12936,-169.88382,NU
Tamakautoga,-19.09923,-169.91876,NU
Vili,-19.06703,-169.78799,NU
Vahavaha,-19.10057,-169.81499,NU
Taoli,-19.1,-169.88333,NU
Pikiona,-19.0663,-169.82404,NU
Nukufetau,-19.07891,-169.84923,NU
Motu,-19.02962,-169.80143,NU
Matavao,-19.06918,-169.87996,NU
Matalave,-18.95,-169.9,NU
Mataafi,-19.11439,-169.84765,NU
Makaapiapi,-19.1176,-169.90253,NU
