City,Latitude,Longitude,Country Code
Wellington,-41.28664,174.77557,NZ
Auckland,-36.84853,174.76349,NZ
Christchurch,-43.53333,172.63333,NZ
Hamilton,-37.78333,175.28333,NZ
Dunedin,-45.87416,170.50361,NZ
North Shore,-36.8,174.75,NZ
Manukau,-36.99282,174.87986,NZ
Tauranga,-37.68611,176.16667,NZ
Palmerston North,-40.35636,175.61113,NZ
New Plymouth,-39.06667,174.08333,NZ
Hastings,-39.6381,176.84918,NZ
Nukunonu,-9.20045,-171.84804,NZ
Atafu,-8.54212,-172.51591,NZ
Nelson,-41.27078,173.28404,NZ
Napier City,-39.4926,176.91233,NZ
Lower Hutt,-41.21667,174.91667,NZ
Invercargill,-46.4,168.35,NZ
Gisborne,-38.65333,178.00417,NZ
Whangarei,-35.73167,174.32391,NZ
Rotorua,-38.13874,176.24516,NZ
Blenheim,-41.51603,173.9528,NZ
Taupo,-38.68333,176.08333,NZ
Richmond,-41.33333,173.18333,NZ
Porirua,-41.13333,174.85,NZ
Timaru,-44.39672,171.25364,NZ
Masterton,-40.95972,175.6575,NZ
Whakatane,-37.95855,176.98545,NZ
Queenstown,-45.03023,168.66271,NZ
Waitangi,-43.95353,-176.55973,NZ
Stoke,-41.31667,173.23333,NZ
