City,Latitude,Longitude,Country Code
Muscat,23.58413,58.40778,OM
Seeb,23.67027,58.18911,OM
Sohar,24.34745,56.70937,OM
Salalah,17.01505,54.09237,OM
Bawshar,23.57769,58.39982,OM
Saham,24.17222,56.88861,OM
Ibri,23.22573,56.51572,OM
Rustaq,23.39083,57.42444,OM
As Suwayq,23.84944,57.43861,OM
Sur,22.56667,59.52889,OM
Barkā’,23.67872,57.88605,OM
Nizwá,22.93333,57.53333,OM
Khasab,26.17993,56.24774,OM
Buraimi,24.25088,55.79312,OM
Ibrā’,22.69057,58.53337,OM
Bahlā’,22.97886,57.3047,OM
Al Khābūrah,23.97144,57.09313,OM
Sufālat Samā’il,23.31667,58.01667,OM
Shināş,24.7426,56.46698,OM
Al Khubbayn,24.31027,56.13043,OM
Izkī,22.93333,57.76667,OM
Haymā’,19.95931,56.27575,OM
Duqm,19.66207,57.70367,OM
Bidbid,23.40787,58.1283,OM
Al Qābil,22.571,58.69472,OM
Liwá,24.53077,56.563,OM
Adam,22.37934,57.52718,OM
Aţ Ţaww,23.49972,57.96164,OM
Shīhayt,17.04268,54.00822,OM
Al Ḩawţah,16.76173,53.48873,OM
