City,Latitude,Longitude,Country Code
Panama City,8.9936,-79.51973,PA
David,8.42729,-82.43085,PA
Juan Díaz,9.04059,-79.44083,PA
Colón,9.35451,-79.90011,PA
San Miguelito,9.05032,-79.47068,PA
Arraiján,8.9398,-79.64038,PA
Las Cumbres,9.09211,-79.53895,PA
La Chorrera,8.88028,-79.78333,PA
Pedregal,9.0661,-79.42577,PA
Tocumen,9.08939,-79.3831,PA
Bocas del Toro,9.34031,-82.24204,PA
Santiago,8.1,-80.98333,PA
Penonomé,8.51889,-80.35727,PA
La Palma,8.40608,-78.13964,PA
El Porvenir,9.55276,-78.9523,PA
El Empalme,9.41468,-82.52244,PA
Curundú,8.97092,-79.54612,PA
Río Abajo,9.02397,-79.49361,PA
Puerto Armuelles,8.27775,-82.86206,PA
Portobelo,9.55303,-79.65693,PA
Parque Lefevre,9.02266,-79.47864,PA
Narganá,9.44394,-78.58666,PA
Mulatupo,8.94672,-77.7508,PA
Las Tablas,7.76472,-80.27483,PA
Chitré,7.96082,-80.42944,PA
Chilibre,9.15403,-79.62019,PA
Chepo,9.17019,-79.10083,PA
Changuinola,9.43,-82.52,PA
Cativá,9.36218,-79.83232,PA
Ancón,8.96015,-79.5514,PA
