City,Latitude,Longitude,Country Code
Lima,-12.04318,-77.02824,PE
Callao,-12.05659,-77.11814,PE
Arequipa,-16.39889,-71.535,PE
Chiclayo,-6.77137,-79.84088,PE
Trujillo,-8.11599,-79.02998,PE
Piura,-5.19449,-80.63282,PE
Iquitos,-3.74912,-73.25383,PE
Cusco,-13.52264,-71.96734,PE
Huancayo,-12.06513,-75.20486,PE
Pucallpa,-8.37915,-74.55387,PE
Huaraz,-9.52779,-77.52778,PE
Huánuco,-9.93062,-76.24223,PE
Cajamarca,-7.16378,-78.50027,PE
Tumbes,-3.56694,-80.45153,PE
Tacna,-18.01465,-70.25362,PE
Puno,-15.8422,-70.0199,PE
Puerto Maldonado,-12.59331,-69.18913,PE
Ica,-14.06777,-75.72861,PE
Ayacucho,-13.15878,-74.22321,PE
Moyobamba,-6.03416,-76.97168,PE
Chimbote,-9.07508,-78.59373,PE
Chachapoyas,-6.23169,-77.86903,PE
Cerro de Pasco,-10.66748,-76.25668,PE
Moquegua,-17.19832,-70.93567,PE
Abancay,-13.63389,-72.88139,PE
Talara,-4.57722,-81.27194,PE
Sullana,-4.90389,-80.68528,PE
Chincha Alta,-13.40985,-76.13235,PE
Juliaca,-15.5,-70.13333,PE
Huancavelica,-12.78261,-74.97266,PE
