City,Latitude,Longitude,Country Code
Papeete,-17.5347,-149.56843,PF
Punaauia,-17.63333,-149.6,PF
Faaa,-17.55933,-149.60352,PF
Pirae,-17.52985,-149.55119,PF
Paea,-17.68333,-149.58333,PF
Mahina,-17.50648,-149.48899,PF
Papao,-17.75,-149.55,PF
Arue,-17.52764,-149.53437,PF
Vaitape,-16.50741,-151.74913,PF
Afaahiti,-17.74395,-149.32444,PF
Uturoa,-16.72891,-151.44482,PF
Paopao,-17.51863,-149.82193,PF
Taiohae,-8.91093,-140.09972,PF
Atuona,-9.80342,-139.04202,PF
Vairao,-17.78333,-149.28333,PF
Teahupoo,-17.84645,-149.26682,PF
Tautira,-17.74744,-149.16123,PF
Taunoa,-17.75139,-149.35602,PF
Pueu,-17.73831,-149.22376,PF
Fare,-16.71085,-151.03455,PF
Rikitea,-23.12322,-134.96858,PF
Vaitoare,-16.67618,-151.45743,PF
Tohautu,-17.76099,-149.31676,PF
Tiputa,-14.97663,-147.62466,PF
Tevaitoa,-16.79139,-151.48893,PF
Rairua,-23.86959,-147.68565,PF
Otutara,-17.77207,-149.41341,PF
Huahine,-23.37291,-149.4971,PF
Avatoru,-14.94172,-147.702,PF
Hauti,-22.48686,-151.32483,PF
