City,Latitude,Longitude,Country Code
Port Moresby,-9.47723,147.15089,PG
Lae,-6.72333,146.99611,PG
Madang,-5.22152,145.78695,PG
Popondetta,-8.76536,148.23252,PG
Mt Hagen,-5.85746,144.23058,PG
Arawa,-6.22977,155.56598,PG
Kokopo,-4.3432,152.26867,PG
Kimbe,-5.55085,150.13766,PG
Mendi,-6.14755,143.65633,PG
Goroka,-6.085,145.38667,PG
Kavieng,-2.57337,150.79516,PG
Daru,-9.07786,143.20893,PG
Lorengau,-2.0341,147.27173,PG
Rabaul,-4.20037,152.16297,PG
Wewak,-3.54964,143.63229,PG
Vanimo,-2.68372,141.30195,PG
Alotau,-10.31509,150.45742,PG
Kundiawa,-6.01972,144.96917,PG
Kiunga,-6.12193,141.29061,PG
Kerema,-7.96028,145.77278,PG
Bulolo,-7.2036,146.64014,PG
Aitape,-3.13697,142.34913,PG
Wau,-7.342,146.724,PG
Wabag,-5.49119,143.72151,PG
Tari,-5.845,142.94667,PG
Buka,-5.43261,154.67098,PG
Kurumul,-5.855,144.63111,PG
Kieta,-6.21462,155.63251,PG
Kandrian,-6.20655,149.54744,PG
Kainantu,-6.28872,145.86548,PG
