City,Latitude,Longitude,Country Code
Davao City,7.07306,125.61278,PH
Manila,14.6042,120.9822,PH
Quezon City,14.6488,121.0509,PH
Taguig,14.5243,121.0792,PH
Cebu City,10.31672,123.89071,PH
Caloocan City,14.64953,120.96788,PH
Malingao,7.16083,124.475,PH
Budta,7.20417,124.43972,PH
Butuan,8.94917,125.54361,PH
Baguio City,16.41639,120.59306,PH
San Fernando City,15.03425,120.68445,PH
Tuguegarao City,17.61577,121.72285,PH
Cotabato City,7.22361,124.24639,PH
Calamba,14.21167,121.16528,PH
Paranaque City,14.48156,121.01749,PH
Koronadal,6.50306,124.84694,PH
Tacloban City,11.24333,125.00472,PH
Cabanatuan City,15.48586,120.96648,PH
Puerto Princesa City,9.73917,118.73528,PH
Laoag,18.1978,120.5957,PH
Cavite City,14.48369,120.89878,PH
Calapan,13.4117,121.1803,PH
General Santos,6.11278,125.17167,PH
Dumaguete,9.30646,123.30769,PH
Pagadian,7.8257,123.437,PH
Ormoc City,11.00639,124.6075,PH
Naga,13.61917,123.18139,PH
Tagum,7.4475,125.8046,PH
Tagbilaran,9.65556,123.85219,PH
Tagaytay,14.09532,120.93355,PH
