City,Latitude,Longitude,Country Code
Karachi,24.8608,67.0104,PK
Lahore,31.558,74.35071,PK
Faisalabad,31.41554,73.08969,PK
Rawalpindi,33.59733,73.0479,PK
Peshawar,34.008,71.57849,PK
Islamabad,33.72148,73.04329,PK
Hyderābād,25.39689,68.37718,PK
Quetta,30.18414,67.00141,PK
Multan,30.19679,71.47824,PK
Gujranwala,32.15567,74.18705,PK
Rahim Yar Khan,28.41987,70.30345,PK
Muzaffarabad,34.37002,73.47082,PK
Dera Ghazi Khan,30.04587,70.64029,PK
Siālkot,32.49268,74.53134,PK
Sargodha,32.08586,72.67418,PK
Mingora,34.7795,72.36265,PK
Bahawalnagar,30.55083,73.39083,PK
Khairpur,27.52948,68.75915,PK
Wazirabad,32.44324,74.12,PK
Bahawalpur,29.39779,71.6752,PK
Bahawalpur,29.99835,73.25272,PK
Ahmedpur East,29.14269,71.25771,PK
Mardan,34.19794,72.04965,PK
Kotli,33.51836,73.9022,PK
Kot Addu,30.46907,70.96699,PK
Khuzdar,27.81193,66.61096,PK
Khanpur,28.64739,70.65694,PK
Kamoke,31.97526,74.22304,PK
Kamalia,30.72708,72.64607,PK
Chishtian,29.79713,72.85772,PK
