City,Latitude,Longitude,Country Code
Warsaw,52.22977,21.01178,PL
Krakow,50.06143,19.93658,PL
Lodz,51.77058,19.47395,PL
Wroclaw,51.1,17.03333,PL
Poznan,52.40692,16.92993,PL
Gdansk,54.35227,18.64912,PL
Katowice,50.25841,19.02754,PL
Bydgoszcz,53.1235,18.00762,PL
Szczecin,53.42894,14.55302,PL
Lublin,51.25,22.56667,PL
Torun,53.01375,18.59814,PL
Zielona Góra,51.93548,15.50643,PL
Gorzów Wielkopolski,52.73679,15.22878,PL
Opole,50.67211,17.92533,PL
Gdynia,54.51889,18.53188,PL
Kielce,50.87033,20.62752,PL
Olsztyn,53.77995,20.49416,PL
Rzeszów,50.04132,21.99901,PL
Bialystok,53.13333,23.16433,PL
Włocławek,52.64817,19.0678,PL
Wałbrzych,50.77141,16.28432,PL
Tychy,50.13717,18.96641,PL
Zabrze,50.32492,18.78576,PL
Koszalin,54.19438,16.17222,PL
Konin,52.22338,18.25121,PL
Rybnik,50.09713,18.54179,PL
Ruda Śląska,50.2584,18.85632,PL
Kalisz,51.76109,18.09102,PL
Grudziądz,53.48411,18.75366,PL
Płock,52.54682,19.70638,PL
