City,Latitude,Longitude,Country Code
San Juan,18.46633,-66.10572,PR
Ponce,18.01031,-66.62398,PR
Bayamón,18.39856,-66.15572,PR
Mayagüez,18.20107,-67.13962,PR
Arecibo,18.47245,-66.71573,PR
Caguas,18.23412,-66.0485,PR
Carolina,18.38078,-65.95739,PR
Trujillo Alto,18.35467,-66.00739,PR
Fajardo,18.32579,-65.65238,PR
Guaynabo,18.35745,-66.111,PR
Coamo,18.07996,-66.35795,PR
Dorado,18.45883,-66.26767,PR
Guayama,17.98413,-66.11378,PR
Humacao,18.14968,-65.82738,PR
Río Grande,18.38023,-65.83127,PR
Vega Alta,18.41217,-66.33128,PR
Vega Baja,18.44439,-66.38767,PR
Yauco,18.03496,-66.8499,PR
Aguadilla,18.42745,-67.15407,PR
Ceiba,18.26412,-65.6485,PR
Corozal,18.34106,-66.31684,PR
Culebra,18.30301,-65.30099,PR
Hatillo,18.48633,-66.82545,PR
Hormigueros,18.13968,-67.1274,PR
Juana Díaz,18.05246,-66.50656,PR
Lares,18.29467,-66.87712,PR
Loíza,18.43134,-65.88016,PR
Manatí,18.42745,-66.49212,PR
Maricao,18.18079,-66.9799,PR
Naguabo,18.21162,-65.73488,PR
