City,Latitude,Longitude,Country Code
Lisbon,38.71667,-9.13333,PT
Porto,41.14961,-8.61099,PT
Braga,41.55032,-8.42005,PT
Setúbal,38.5244,-8.8882,PT
Coimbra,40.20564,-8.41955,PT
Funchal,32.66568,-16.92547,PT
Amadora,38.75382,-9.23083,PT
Queluz,38.75657,-9.25451,PT
Vila Nova de Gaia,41.12401,-8.61241,PT
Cacém,38.76698,-9.29793,PT
Aveiro,40.64427,-8.64554,PT
Leiria,39.74362,-8.80705,PT
Evora,38.56667,-7.9,PT
Guarda,40.53733,-7.26575,PT
Viseu,40.66101,-7.90971,PT
Vila Real,41.30062,-7.74413,PT
Odivelas,38.79269,-9.1838,PT
Loures,38.83091,-9.16845,PT
Fátima,39.62071,-8.65237,PT
Faro,37.01869,-7.92716,PT
Estoril,38.70571,-9.39773,PT
Cascais,38.69681,-9.42147,PT
Sintra,38.80097,-9.37826,PT
Santarém,39.23333,-8.68333,PT
Ponta Delgada,37.73952,-25.66874,PT
Angra do Heroísmo,38.6539,-27.21839,PT
Póvoa de Varzim,41.38344,-8.76364,PT
Lousã,40.11673,-8.24921,PT
Guimarães,41.44443,-8.29619,PT
Figueira da Foz Municipality,40.15085,-8.86179,PT
