City,Latitude,Longitude,Country Code
Koror,7.33978,134.47326,PW
Ngchesar Hamlet,7.46932,134.60991,PW
Mengellang,7.6957,134.63054,PW
Ulimang,7.62416,134.64208,PW
Angaur,6.90331,134.13133,PW
Melekeok Village,7.49567,134.63671,PW
Kloulklubed,7.04192,134.25561,PW
Koror Town,7.34257,134.47888,PW
Ngerkeai,7.55456,134.63612,PW
Ngchemiangel,7.44613,134.47678,PW
Ngerulmud,7.50077,134.6238,PW
Ngetkib Hamlet,7.36438,134.51439,PW
Elab,7.63575,134.63885,PW
Choll,7.67063,134.63587,PW
Ngerkeseuaol Hamlet,7.34301,134.48949,PW
Ngerusar Hamlet,7.35987,134.52965,PW
Ngkeklau Hamlet,7.59296,134.6402,PW
Angaur State,6.90601,134.12997,PW
Ngchesechang Hamlet,7.38472,134.58027,PW
Ngerkeai Hamlet,7.42072,134.49786,PW
Ngerchemai Hamlet,7.35,134.4889,PW
Ngerbau Hamlet,7.70291,134.64106,PW
Ngeburch Hamlet,7.50762,134.62932,PW
Ngereklmadel,7.48826,134.48562,PW
Imeong Hamlet,7.53134,134.52713,PW
Ngardmau,7.60986,134.5744,PW
Ngetkib,7.36451,134.51484,PW
Tobi Village,3.00488,131.12168,PW
Sonsorol Village,5.32608,132.21943,PW
Ngebei Hamlet,7.69887,134.63672,PW
