City,Latitude,Longitude,Country Code
Asunción,-25.28646,-57.647,PY
Ciudad del Este,-25.50972,-54.61111,PY
San Lorenzo,-25.33968,-57.50879,PY
Lambaré,-25.34682,-57.60647,PY
Capiatá,-25.3552,-57.44545,PY
Pedro Juan Caballero,-22.54722,-55.73333,PY
Fernando de la Mora,-25.3386,-57.52167,PY
Encarnación,-27.33056,-55.86667,PY
Nemby,-25.3949,-57.53574,PY
Limpio,-25.16611,-57.48562,PY
Villarrica,-25.74946,-56.43518,PY
Coronel Oviedo,-25.44444,-56.44028,PY
Villa Hayes,-25.09306,-57.52361,PY
Pilar,-26.85874,-58.30639,PY
Concepción,-23.39985,-57.43236,PY
Caacupé,-25.38575,-57.14217,PY
Filadelfia,-22.33936,-60.03157,PY
Villa Elisa,-25.3676,-57.59274,PY
San Juan Bautista,-26.66944,-57.14583,PY
Salto del Guairá,-24.0625,-54.30694,PY
Presidente Franco,-25.56384,-54.61097,PY
Paraguarí,-25.62083,-57.14722,PY
Itauguá,-25.39258,-57.35421,PY
Fuerte Olimpo,-21.04153,-57.87377,PY
Mariano Roque Alonso,-25.20791,-57.53202,PY
Caazapá,-26.19583,-56.36806,PY
Caaguazú,-25.47104,-56.01603,PY
Areguá,-25.3125,-57.38472,PY
Horqueta,-23.34323,-57.05212,PY
San Pedro de Ycuamandiyú,-24.08534,-57.08745,PY
