City,Latitude,Longitude,Country Code
Doha,25.28545,51.53096,QA
Al Rayyan,25.29194,51.42444,QA
Umm Şalāl Muḩammad,25.41524,51.40647,QA
Al Wakrah,25.17151,51.60337,QA
Al Khor,25.68389,51.50583,QA
Dukhān,25.42485,50.78227,QA
Ash Shīḩānīyah,25.37088,51.22264,QA
Musay‘īd,24.99226,51.55067,QA
Madīnat ash Shamāl,26.12933,51.2009,QA
Al Wukayr,25.15107,51.53718,QA
Al ‘Unayzah,25.33759,51.50953,QA
Umm Slal Ali,25.46972,51.3975,QA
Umm Ghuwaylīnah,25.58716,51.14986,QA
Nu‘ayjah,25.24617,51.53227,QA
Mu‘aydhir Rawḑat Rāshid,25.2617,51.39684,QA
Az̧ Z̧a‘āyin,25.57744,51.48306,QA
Al Jumaylīyah,25.61068,51.09108,QA
As Sulţah al Jadīdah,25.2604,51.51403,QA
An Najmah,25.26704,51.54322,QA
As Sadd,25.28617,51.50074,QA
Al Maţār al ‘Atīq,25.25138,51.55569,QA
Umm Qarn,25.55267,51.431,QA
Sumaysimah,25.57823,51.48319,QA
Ath Thaqab,26.03153,51.11512,QA
Makīn al Fatīyah,26.03293,51.1647,QA
Ar Ruways,26.13978,51.21493,QA
Al Ghuwayrīyah,25.82882,51.24567,QA
Adh Dhakhīrah,25.73201,51.54377,QA
Abū Z̧ulūf,26.12403,51.18151,QA
Fuwayriţ,26.02565,51.36971,QA
