City,Latitude,Longitude,Country Code
Saint-Denis,-20.88231,55.4504,RE
Saint-Pierre,-21.3393,55.47811,RE
Saint-Paul,-21.00961,55.27134,RE
Le Tampon,-21.2766,55.51766,RE
Le Port,-20.93752,55.29415,RE
Saint-Louis,-21.28585,55.41124,RE
Saint-Leu,-21.17059,55.28824,RE
Sainte-Clotilde,-20.90429,55.47826,RE
Saint-Benoît,-21.03795,55.71546,RE
Saint-André,-20.96333,55.65031,RE
La Possession,-20.92909,55.3348,RE
Saint-Joseph,-21.3777,55.61691,RE
Sainte-Suzanne,-20.90616,55.60788,RE
Sainte-Marie,-20.89686,55.55056,RE
Petite-Île,-21.35327,55.56427,RE
Les Avirons,-21.24063,55.33685,RE
La Plaine-des-Palmistes,-21.13425,55.62819,RE
L'Étang-Salé,-21.25,55.38333,RE
Bras-Panon,-20.99667,55.67823,RE
Salazie,-21.0271,55.5395,RE
Saint-Philippe,-21.36086,55.7679,RE
Cilaos,-21.13641,55.47187,RE
Vincendo,-21.37104,55.67013,RE
Les Trois-Bassins,-21.1,55.3,RE
Takamaka,-21.31786,55.80094,RE
Saint-Gilles les Bains,-21.05203,55.22571,RE
Sainte-Rose,-21.12858,55.79616,RE
Sainte-Anne,-21.08522,55.74944,RE
Ravine Ango,-21.34979,55.79105,RE
Quartier-Français,-20.92903,55.63524,RE
