City,Latitude,Longitude,Country Code
Bucharest,44.43225,26.10626,RO
Constanța,44.18073,28.63432,RO
Iasi,47.16667,27.6,RO
Craiova,44.31667,23.8,RO
Cluj-Napoca,46.76667,23.6,RO
Timișoara,45.75372,21.22571,RO
Galati,45.43687,28.05028,RO
Sector 2,44.4528,26.13321,RO
Sector 3,44.4234,26.16874,RO
Sector 6,44.43579,26.01649,RO
Buzau,45.15,26.83333,RO
Brasov,45.64861,25.60613,RO
Ploieşti,44.95,26.01667,RO
Piteşti,44.85,24.86667,RO
Piatra Neamţ,46.91667,26.33333,RO
Oradea,47.0458,21.91833,RO
Suceava,47.63333,26.25,RO
Slatina,44.43333,24.36667,RO
Sibiu,45.8,24.15,RO
Satu Mare,47.79926,22.86255,RO
Râmnicu Vâlcea,45.1,24.36667,RO
Drobeta-Turnu Severin,44.62693,22.65288,RO
Tulcea,45.1787,28.80501,RO
Târgu Mureş,46.54245,24.55747,RO
Târgu Jiu,45.05,23.28333,RO
Târgovişte,44.92543,25.4567,RO
Braila,45.27152,27.97429,RO
Botosani,47.75,26.66667,RO
Baia Mare,47.65729,23.56808,RO
Bacau,46.56718,26.91384,RO
