City,Latitude,Longitude,Country Code
Moscow,55.75222,37.61556,RU
Novosibirsk,55.0415,82.9346,RU
Yekaterinburg,56.8519,60.6122,RU
St Petersburg,59.93863,30.31413,RU
Kazan’,55.78874,49.12214,RU
Omsk,54.99244,73.36859,RU
Chelyabinsk,55.15402,61.42915,RU
Nizhny Novgorod,56.32867,44.00205,RU
Rostov-on-Don,47.23135,39.72328,RU
Samara,53.20007,50.15,RU
Vladivostok,43.10562,131.87353,RU
Khabarovsk,48.48271,135.08379,RU
Irkutsk,52.29778,104.29639,RU
Yuzhno-Sakhalinsk,46.95407,142.73603,RU
Petropavlovsk-Kamchatskiy,53.06393,158.62751,RU
Blagoveshchensk,50.27961,127.5405,RU
Kyzyl,51.71081,94.45338,RU
Krasnoyarsk,56.02668,92.90765,RU
Khanty-Mansiysk,61.00417,69.00194,RU
Kemerovo,55.33333,86.08333,RU
Barnaul,53.36056,83.76361,RU
Tyumen,57.15222,65.52722,RU
Tomsk,56.50032,84.98204,RU
Krasnodar,45.04484,38.97603,RU
Makhachkala,42.97638,47.50236,RU
Lipetsk,52.60311,39.57076,RU
Kaliningrad,54.70649,20.51095,RU
Izhevsk,56.84976,53.20448,RU
Cheboksary,56.13222,47.25194,RU
Kirov,58.59665,49.66007,RU
