City,Latitude,Longitude,Country Code
Kigali,-1.94995,30.05885,RW
Butare,-2.59667,29.73944,RW
Ruhengeri,-1.49984,29.63497,RW
Gitarama,-2.07444,29.75667,RW
Byumba,-1.5763,30.0675,RW
Rwamagana,-1.9487,30.4347,RW
Kibuye,-2.06028,29.34778,RW
Cyangugu,-2.4846,28.9075,RW
Kibungo,-2.1597,30.5427,RW
Gisenyi,-1.70278,29.25639,RW
Nyanza,-2.35187,29.75089,RW
Nzega,-2.479,29.5564,RW
Shangi,-2.4036,29.0059,RW
Bushekeri,-2.4195,29.0908,RW
Bugarama,-2.6924,29.0077,RW
Kayonza,-1.9509,30.5205,RW
Ruhango,-2.2246,29.79088,RW
Gikongoro,-2.46397,29.57389,RW
Kirambo,-2.3155,29.1415,RW
Karengera,-2.5169,29.0326,RW
Nyamata,-2.20419,30.14494,RW
Nyagatare,-1.2952,30.3226,RW
Kinigi,-1.4426,29.5902,RW
Kirimbi,-2.26469,29.19644,RW
Kibeho,-2.6465,29.5591,RW
Kabgayi,-2.097,29.7513,RW
Gahini,-1.8406,30.4816,RW
Tumba,-1.6989,29.9542,RW
Shyorongi,-1.85439,29.96238,RW
Ngororero,-1.8628,29.62541,RW
