City,Latitude,Longitude,Country Code
Honiara,-9.43333,159.95,SB
Gizo,-8.10303,156.84186,SB
Auki,-8.76778,160.69778,SB
Kirakira,-10.45442,161.92045,SB
Tulagi,-9.10306,160.15056,SB
Malango,-9.69523,159.71734,SB
Buala,-8.14497,159.59212,SB
Lata,-10.725,165.79722,SB
Munda,-8.32799,157.26652,SB
Taro,-6.71111,156.39722,SB
Puma,-11.63317,166.95685,SB
Paeu,-11.68767,166.83758,SB
Niupani,-11.72301,160.41973,SB
Tigoa,-11.5521,160.06514,SB
Yandina,-9.07926,159.21936,SB
Visale,-8.6,157.33333,SB
Vilu,-9.32015,159.79316,SB
Veralevuha,-9.28067,159.64291,SB
Vatupilei,-9.29043,159.7312,SB
Tuvaruhu,-9.45445,159.95653,SB
Seghe,-8.58034,157.87688,SB
Ruaniu,-9.34493,159.83727,SB
Reko,-9.16153,159.80782,SB
Chahoga,-9.25135,159.69262,SB
Noro,-8.22274,157.19978,SB
Mbilua,-7.93333,156.7,SB
Mbatuna,-8.55967,158.12481,SB
Maravovo,-9.28488,159.63586,SB
Mangakiki,-9.3309,159.59732,SB
Mamarei,-9.26931,159.67431,SB
