City,Latitude,Longitude,Country Code
Victoria,-4.62001,55.45501,SC
Bel Ombre,-4.61667,55.41667,SC
Anse Boileau,-4.71667,55.48333,SC
Takamaka,-4.76667,55.5,SC
Cascade,-4.66915,55.49952,SC
Beau Vallon,-4.62091,55.43015,SC
Anse Royale,-4.73333,55.51667,SC
Port Glaud,-4.66256,55.41841,SC
Anse Lazio,-4.29583,55.70249,SC
Saint Louis,-4.62457,55.44441,SC
La Passe,-4.34808,55.83269,SC
Misere,-4.66667,55.46667,SC
De Quincey Village,-4.6026,55.45692,SC
Perseverance,-4.60445,55.46428,SC
Machabee,-4.56523,55.4457,SC
L’Espérance,-4.71667,55.48333,SC
La Réunion,-4.35544,55.83527,SC
Anse Volbert Village,-4.31667,55.73333,SC
Grand Anse,-4.33109,55.72206,SC
Eden Island,-4.63875,55.47679,SC
Cote d'Or,-4.31997,55.75338,SC
Anse Kerlan,-4.30524,55.6845,SC
Anse aux Pins,-4.7034,55.52055,SC
Anse des Genets,-4.67323,55.5131,SC
Baie Lazare,-4.74971,55.4754,SC
Silhouette Island,-4.48599,55.25262,SC
Pointe Au Sel,-4.72834,55.52416,SC
Quatre Bornes,-4.77873,55.51012,SC
Ile au Cerf,-4.63108,55.49278,SC
La Gouge,-4.59093,55.4462,SC
