City,Latitude,Longitude,Country Code
Omdurman,15.64453,32.47773,SD
Khartoum,15.55177,32.53241,SD
Port Sudan,19.61745,37.21644,SD
Nyala,12.04888,24.88069,SD
Kassala,15.45099,36.39998,SD
Al-Ubayyid,13.18421,30.21669,SD
Gedaref,14.03493,35.38344,SD
Wad Madani,14.40118,33.51989,SD
Kūstī,13.1629,32.66347,SD
El Daein,11.46186,26.12583,SD
Geneina,13.45262,22.44725,SD
Kaduqli,11.01111,29.71833,SD
Atbara,17.70217,33.98638,SD
Singa,13.1483,33.93117,SD
Rabak,13.18087,32.73999,SD
Al-Fashir,13.62793,25.34936,SD
Ed Damer,17.59898,33.97205,SD
Ad-Damazin,11.7891,34.3592,SD
Dongola,19.18163,30.47689,SD
Zalinguei,12.90918,23.47058,SD
Sennar,13.56907,33.56718,SD
En Nahud,12.7,28.43333,SD
Al Manāqil,14.2459,32.9891,SD
Dewaim,14.0012,32.3116,SD
Gereida,11.27543,25.14026,SD
Umm Ruwaba,12.9061,31.2158,SD
Shendi,16.6915,33.4341,SD
Dilling,12.05,29.65,SD
Berber,18.02158,33.98299,SD
As Sūkī,13.31667,33.88333,SD
