City,Latitude,Longitude,Country Code
Stockholm,59.32938,18.06871,SE
Gothenburg,57.70716,11.96679,SE
Malmo,55.60587,13.00073,SE
Linköping,58.41086,15.62157,SE
Uppsala,59.85882,17.63889,SE
Örebro,59.27412,15.2066,SE
Västerås,59.61617,16.55276,SE
Umeå,63.82842,20.25972,SE
Halmstad,56.67446,12.85676,SE
Karlstad,59.3793,13.50357,SE
Karlskrona,56.16156,15.58661,SE
Kalmar,56.66157,16.36163,SE
Gävle,60.67452,17.14174,SE
Falun,60.60357,15.62597,SE
Jönköping,57.78145,14.15618,SE
Helsingborg,56.04673,12.69437,SE
Sollentuna,59.42804,17.95093,SE
Södermalm,59.31278,18.07577,SE
Östersund,63.1792,14.63566,SE
Vaxjo,56.87767,14.80906,SE
Luleå,65.58415,22.15465,SE
Lund,55.70584,13.19321,SE
Norrköping,58.59419,16.1826,SE
Härnösand,62.63228,17.93794,SE
Södertälje,59.19554,17.62525,SE
Nyköping,58.753,17.00788,SE
Visby,57.64089,18.29602,SE
Sundsvall,62.39129,17.3063,SE
Borlänge,60.4858,15.43714,SE
Borås,57.72101,12.9401,SE
