City,Latitude,Longitude,Country Code
Singapore,1.28967,103.85007,SG
Queenstown Estate,1.29417,103.8025,SG
Marine Parade,1.30306,103.90778,SG
Seletar,1.41,103.87417,SG
Sembawang Estate,1.45083,103.82861,SG
Punggol,1.41444,103.90694,SG
Kampong Pasir Ris,1.37833,103.93194,SG
Geylang,1.31953,103.88689,SG
Jurong Town,1.33417,103.72278,SG
Jurong West,1.35028,103.72278,SG
Yishun New Town,1.43333,103.83111,SG
Woodlands,1.43801,103.78877,SG
Ang Mo Kio New Town,1.38028,103.83972,SG
Bukit Panjang New Town,1.37972,103.76472,SG
Bedok New Town,1.32639,103.94167,SG
Choa Chu Kang New Town,1.3825,103.74972,SG
Sengkang,1.39167,103.89444,SG
Ulu Bedok,1.33333,103.93333,SG
Toa Payoh New Town,1.33611,103.85,SG
Tampines,1.35806,103.94028,SG
Serangoon,1.36278,103.8975,SG
Kembangan,1.32228,103.91135,SG
Kallang,1.33333,103.86667,SG
Bukit Timah Estate,1.34028,103.77583,SG
Bishan,1.3504,103.84875,SG
Bukit Batok New Town,1.35903,103.76368,SG
Hougang,1.35667,103.89083,SG
Jurong East,1.32888,103.73995,SG
Serangoon New Town,1.35083,103.87083,SG
Tampines New Town,1.34917,103.94972,SG
