City,Latitude,Longitude,Country Code
Jamestown,-15.92488,-5.71816,SH
Edinburgh of the Seven Seas,-37.06757,-12.31155,SH
Georgetown,-7.92861,-14.41194,SH
Half Tree Hollow,-15.93723,-5.71996,SH
Longwood,-15.94916,-5.68571,SH
Levelwood,-15.96667,-5.68333,SH
Two Boats Village,-7.94466,-14.37081,SH
Barren Ground,-15.98028,-5.75,SH
Taglate,-15.96667,-5.68333,SH
New Ground,-15.94395,-5.7249,SH
Hutts Gate,-15.96667,-5.7,SH
Deadwood,-15.93333,-5.68333,SH
Thornton,-7.93333,-14.41667,SH
Alarm Forest,-15.94371,-5.70523,SH
Blue Hill,-15.97925,-5.74667,SH
Cat Hill US Military Base,-7.95117,-14.40739,SH
Sandy Bay,-15.97733,-5.71286,SH
St. Paul's,-15.94453,-5.72467,SH
The Residency,-7.94928,-14.35107,SH
Traveller's Hill Royal Air Force Base,-7.94431,-14.37251,SH
