City,Latitude,Longitude,Country Code
Ljubljana,46.05108,14.50513,SI
Maribor,46.55472,15.64667,SI
Celje,46.23092,15.26044,SI
Kranj,46.23887,14.35561,SI
Koper,45.54694,13.72944,SI
Velenje,46.35917,15.11028,SI
Novo Mesto,45.80397,15.16886,SI
Kamnik,46.22587,14.61207,SI
Ptuj,46.42005,15.87018,SI
Trbovlje,46.155,15.05333,SI
Brežice,45.90333,15.59111,SI
Bovec,46.33808,13.55245,SI
Bled,46.36917,14.11361,SI
Ajdovščina,45.88601,13.90946,SI
Domžale,46.13774,14.59371,SI
Krško,45.95915,15.49167,SI
Kranjska Gora,46.45689,13.77824,SI
Kočevje,45.64333,14.86333,SI
Kobarid,46.24761,13.57907,SI
Jesenice,46.43056,14.06694,SI
Izola,45.53694,13.66194,SI
Postojna,45.77435,14.21528,SI
Škofja Loka,46.16551,14.30626,SI
Šentjur pri Celju,46.21722,15.3975,SI
Nova Gorica,45.95604,13.64837,SI
Murska Sobota,46.6625,16.16639,SI
Litija,46.05861,14.8225,SI
Črnomelj,45.57111,15.18889,SI
Cerknica,45.79306,14.3625,SI
Beltinci,46.60528,16.24056,SI
