City,Latitude,Longitude,Country Code
Bratislava,48.14816,17.10674,SK
Košice,48.71395,21.25808,SK
Nitra,48.30763,18.08453,SK
Žilina,49.22315,18.73941,SK
Banská Bystrica,48.73946,19.15349,SK
Prešov,48.99839,21.23393,SK
Trnava,48.37741,17.58723,SK
Trenčín,48.89452,18.04436,SK
Martin,49.06651,18.92399,SK
Poprad,49.06144,20.29798,SK
Ružomberok,49.0748,19.30751,SK
Prievidza,48.77446,18.6275,SK
Mošovce,48.90944,18.88484,SK
Komárno,47.76356,18.12263,SK
Zvolen,48.57442,19.15324,SK
Svätý Kríž,49.05,19.53333,SK
Štúrovo,47.79495,18.7175,SK
Old Town,48.15039,17.09002,SK
Púchov,49.12494,18.32597,SK
Považská Bystrica,49.12153,18.42169,SK
Piešťany,48.59479,17.82591,SK
Partizánske,48.62861,18.38455,SK
Nové Zámky,47.98544,18.16195,SK
Nové Mesto nad Váhom,48.75763,17.8309,SK
Modra,48.33397,17.30711,SK
Malacky,48.43604,17.02188,SK
Lučenec,48.33249,19.66708,SK
Liptovský Mikuláš,49.08061,19.62218,SK
Liptovský Hrádok,49.03962,19.72335,SK
Levice,48.21563,18.60705,SK
