City,Latitude,Longitude,Country Code
Bo,7.96472,-11.73833,SL
Kenema,7.87687,-11.19025,SL
Freetown,8.48714,-13.2356,SL
Koidu,8.64387,-10.9714,SL
Port Loko,8.76609,-12.78696,SL
Makeni,8.88605,-12.04417,SL
Goderich,8.42756,-13.28598,SL
Waterloo,8.3389,-13.07091,SL
Yengema,8.71441,-11.17057,SL
Kailahun,8.2789,-10.573,SL
Kabala,9.58893,-11.55256,SL
Gandorhun,7.55502,-11.6926,SL
Gandorhun,7.49431,-11.83064,SL
Bumpe,7.89209,-11.90541,SL
Bonthe,7.52639,-12.505,SL
Binkolo,8.95225,-11.98029,SL
Segbwema,7.99471,-10.9502,SL
Rokupr,8.67121,-12.38497,SL
Njala,8.23231,-12.01558,SL
Magburaka,8.72306,-11.9488,SL
Lunsar,8.68439,-12.53499,SL
Kambia,9.12504,-12.91816,SL
Zimmi,7.31356,-11.30818,SL
Yonibana,8.44347,-12.23929,SL
Hastings,8.37994,-13.13693,SL
Daru,7.98976,-10.84223,SL
Bumbuna,9.04466,-11.74576,SL
Bomi,7.24611,-11.52583,SL
Boajibu,8.18763,-11.34026,SL
Barma,8.34959,-11.33059,SL
