City,Latitude,Longitude,Country Code
Serravalle,43.96897,12.48167,SM
San Marino,43.93667,12.44639,SM
Borgo Maggiore,43.94193,12.44738,SM
Faetano,43.92831,12.49798,SM
Fiorentino,43.91001,12.45738,SM
Poggio Chiesanuova,43.90451,12.42142,SM
Acquaviva,43.94593,12.4185,SM
Domagnano,43.94961,12.46828,SM
Montegiardino,43.90878,12.48201,SM
Falciano,43.98333,12.5,SM
Dogana,43.98034,12.49051,SM
Ventoso,43.95464,12.44047,SM
Cailungo,43.95186,12.4536,SM
Torraccia,43.95242,12.50725,SM
Santa Mustiola,43.93388,12.43858,SM
Cerbaiola,43.90346,12.47683,SM
Valdragone,43.94021,12.45622,SM
Casole,43.91697,12.44442,SM
Cà Rigo,43.94278,12.44548,SM
Fiorina,43.95798,12.47686,SM
Gualdicciolo,43.94982,12.40726,SM
Murata,43.92015,12.45146,SM
Piandivello,43.95003,12.48669,SM
Lesignano,43.96175,12.4842,SM
