City,Latitude,Longitude,Country Code
Dakar,14.6937,-17.44406,SN
Pikine,14.76457,-17.39071,SN
Ziguinchor,12.56801,-16.27326,SN
Thiès Nones,14.78333,-16.96667,SN
Saint-Louis,16.01793,-16.48962,SN
Louga,15.61867,-16.22436,SN
Kolda,12.8939,-14.94125,SN
Kaolack,14.15197,-16.07259,SN
Diourbel,14.64792,-16.24363,SN
Touba,14.85,-15.88333,SN
Tiébo,14.63333,-16.23333,SN
Tambacounda,13.77073,-13.66734,SN
Guédiawaye,14.77446,-17.40212,SN
Mbour,14.42196,-16.96375,SN
Rufisque,14.71542,-17.27334,SN
Mbacké,14.79032,-15.90803,SN
Matam,15.65587,-13.25544,SN
Kédougou,12.55561,-12.18076,SN
Kaffrine,14.10594,-15.5508,SN
Fatick,14.33236,-16.40513,SN
Bargny,14.69707,-17.23015,SN
Thiès,14.78944,-16.92602,SN
Sédhiou,12.70806,-15.55694,SN
Richard-Toll,16.4625,-15.70083,SN
Sali,14.44111,-17.01944,SN
Diamniadio,14.72051,-17.1816,SN
Le Plateau,14.66222,-17.43972,SN
Ndioum,16.51293,-14.64706,SN
Méri Mbaké,14.75,-15.91667,SN
Mékhé,15.1097,-16.6218,SN
