City,Latitude,Longitude,Country Code
Paramaribo,5.86638,-55.16682,SR
Nieuw Nickerie,5.92606,-56.97297,SR
Lelydorp,5.7,-55.23333,SR
Brokopondo,5.05594,-54.98043,SR
Nieuw Amsterdam,5.88573,-55.08871,SR
Moengo,5.61411,-54.40121,SR
Meerzorg,5.80789,-55.1408,SR
Mariënburg,5.87722,-55.04322,SR
Wageningen,5.7601,-56.66523,SR
Albina,5.49788,-54.05522,SR
Totness,5.87618,-56.32572,SR
Onverwacht,5.58983,-55.19462,SR
Groningen,5.8,-55.46667,SR
Brownsweg,5.00435,-55.15333,SR
Botopasi,4.23788,-55.44594,SR
Zoewatta,4.55,-55.3,SR
Zanderij,5.33812,-55.25275,SR
Zanderij,5.45666,-55.20517,SR
Wittikamba,4.50841,-55.35029,SR
Wasjabo,5.2119,-57.18736,SR
Warnakomoponafaja,4.68333,-55.56667,SR
Wanhatti,5.7813,-54.44449,SR
Vertrouwen,4.33333,-55.78333,SR
Tjakkatjakka Ston,5.19725,-56.10203,SR
Tepoe,3.15798,-55.71673,SR
Tamarin,5.7671,-54.38927,SR
Tamanredjo,5.78621,-55.02482,SR
Tabrikiekondre,4.76336,-55.56061,SR
Smithfield,5.86667,-55.53333,SR
Santigron,5.6613,-55.34014,SR
