City,Latitude,Longitude,Country Code
Juba,4.85165,31.58247,SS
Malakal,9.53342,31.66049,SS
Yei,4.09444,30.67639,SS
Winejok,9.01222,27.57081,SS
Wau,7.70111,27.98972,SS
Kuacjok,8.30278,27.98,SS
Gogrial,8.53324,28.10037,SS
Parjok,3.86512,32.48212,SS
Yambio,4.57083,28.39417,SS
Aweil,8.76194,27.39194,SS
Rumbek,6.80619,29.67742,SS
Bor,6.20889,31.55861,SS
Bentiu,9.25722,29.79833,SS
Torit,4.41177,32.57046,SS
Kafia Kingi,9.27345,24.41701,SS
Yirol,6.5525,30.49806,SS
Tonj,7.27389,28.6775,SS
Maridi,4.91667,29.46944,SS
Leer,8.30306,30.14056,SS
Tambura,5.6,27.46667,SS
Raga,8.4675,25.67833,SS
Nimule,3.59991,32.05529,SS
Kodok,9.88889,32.10944,SS
Kapoeta,4.77222,33.59139,SS
Renk,11.7431,32.8049,SS
Ajak Bikr,6.83078,31.2772,SS
Ikotos,4.07953,33.10888,SS
Gondokoro,4.90244,31.66292,SS
Gighar,11.9578,32.7814,SS
Fangak,9.06695,30.88121,SS
