City,Latitude,Longitude,Country Code
San Salvador,13.68935,-89.18718,SV
Santa Ana,13.99417,-89.55972,SV
Soyapango,13.71024,-89.13989,SV
San Miguel,13.48333,-88.18333,SV
Santa Tecla,13.67694,-89.27972,SV
Sonsonate,13.71889,-89.72417,SV
Mejicanos,13.72397,-89.188,SV
Apopa,13.80722,-89.17917,SV
Delgado,13.72171,-89.16874,SV
Usulután,13.35,-88.45,SV
San Marcos,13.66108,-89.18252,SV
Chalatenango,14.03333,-88.93333,SV
Zacatecoluca,13.5,-88.86667,SV
Sensuntepeque,13.86667,-88.63333,SV
San Vicente,13.63333,-88.8,SV
San Francisco,13.7,-88.1,SV
La Unión,13.33915,-87.84328,SV
Cojutepeque,13.71667,-88.93333,SV
Ahuachapán,13.92139,-89.845,SV
Zaragoza,13.58944,-89.28889,SV
Sonzacate,13.73417,-89.71472,SV
Santiago de María,13.48333,-88.46667,SV
Santa Rosa de Lima,13.62472,-87.89361,SV
San Rafael Oriente,13.38333,-88.35,SV
Quezaltepeque,13.83124,-89.27221,SV
Puerto El Triunfo,13.28333,-88.55,SV
Metapán,14.33333,-89.45,SV
La Libertad,13.48833,-89.32222,SV
Jucuapa,13.51667,-88.38333,SV
Izalco,13.74472,-89.67306,SV
