City,Latitude,Longitude,Country Code
Philipsburg,18.026,-63.04582,SX
Lower Prince’s Quarter,18.04987,-63.03789,SX
Cul de Sac,18.04852,-63.06513,SX
Koolbaai,18.04048,-63.08397,SX
Simson Bay Village,18.03783,-63.11852,SX
Upper Prince’s Quarter,18.03277,-63.03075,SX
Windsor,18.01667,-63.08333,SX
Welgeleden,18.03102,-63.06517,SX
The Corner,18.01667,-63.08333,SX
St. Peters,18.0535,-63.07058,SX
Retreat Estate,18.04685,-63.0658,SX
Madame’s Estate,18.03979,-63.04989,SX
Koolbaai,18.03333,-63.06667,SX
Defiance,18.03333,-63.03333,SX
Mullet Bay,18.04598,-63.12598,SX
Oyster Pond,18.05576,-63.01538,SX
Oyster Pond,18.05385,-63.02009,SX
Little Bay,18.0264,-63.06461,SX
Cupecoy,18.04988,-63.13511,SX
Pelikan Key,18.02882,-63.09452,SX
Zorg en Rust,18.0516,-63.0491,SX
Vineyard,18.02143,-63.03805,SX
Union Farm,18.05274,-63.04647,SX
The Villa,18.03109,-63.06001,SX
The Hope Estate,18.02918,-63.0356,SX
Sucker Garden,18.04084,-63.03486,SX
Spring Garden,18.03333,-63.03333,SX
Saunders,18.04174,-63.05667,SX
Rockland,18.05554,-63.03586,SX
Reward,18.05896,-63.06444,SX
