City,Latitude,Longitude,Country Code
Mbabane,-26.31667,31.13333,SZ
Manzini,-26.49884,31.38004,SZ
Big Bend,-26.81667,31.93333,SZ
Nhlangano,-27.11222,31.19833,SZ
Mhlume,-26.02607,31.81423,SZ
Malkerns,-26.52872,31.19193,SZ
Siteki,-26.4525,31.94722,SZ
Piggs Peak,-25.96082,31.24666,SZ
Lobamba,-26.46667,31.2,SZ
Hluti,-27.21667,31.61667,SZ
Tshaneni,-25.95764,31.7274,SZ
Sidvokodvo,-26.6282,31.42021,SZ
Nsoko,-27.03333,31.95,SZ
Mhlambanyatsi,-26.45174,31.05248,SZ
Lavumisa,-27.31005,31.89198,SZ
Kwaluseni,-26.47675,31.33274,SZ
Kubuta,-26.88333,31.48333,SZ
Hlatikulu,-26.97917,31.32444,SZ
Bulembu,-25.95386,31.12715,SZ
Siphofaneni,-26.67779,31.68735,SZ
Sicunusa,-26.84518,30.93769,SZ
Sandlane,-26.56667,30.78333,SZ
Ngonini,-25.76667,31.38333,SZ
Mliba,-26.23974,31.58364,SZ
Mlawula,-26.18333,31.98333,SZ
Mhlumeni,-26.25,32.1,SZ
Mhlosheni,-27.18333,31.38333,SZ
Matsapha,-26.50253,31.30795,SZ
Mankayane,-26.6684,31.06487,SZ
Maloma,-27.01667,31.65,SZ
