City,Latitude,Longitude,Country Code
Cockburn Town,21.46122,-71.14188,TC
Cockburn Harbour,21.49293,-71.53304,TC
Wheeland,21.814,-72.28213,TC
Lorimers,21.7954,-71.6873,TC
Whitby,21.954,-71.96614,TC
The Bight Settlements,21.7796,-72.20421,TC
Sandy Point,21.93933,-72.03803,TC
Kew,21.9134,-71.99265,TC
Greenwich,21.95,-71.93333,TC
Five Cays Settlement,21.75711,-72.26772,TC
Conch Bar,21.82965,-71.80095,TC
Bottle Creek Settlements,21.88362,-71.9223,TC
Blue Hills Settlements,21.80658,-72.27659,TC
Bambarra,21.81578,-71.72311,TC
Balfour Town,21.32406,-71.21548,TC
Sapodilla Bay Beach,21.7426,-72.28189,TC
Grace Bay,21.78139,-72.20919,TC
Corrinice,21.81961,-72.28719,TC
High Rock,21.79723,-72.26729,TC
Lower Bight,21.78134,-72.21052,TC
Kingston,21.78587,-72.18833,TC
Major Hill,21.91805,-71.9225,TC
Belleview,21.90197,-71.92077,TC
Belvedere,21.89266,-71.91981,TC
North Windsor,21.8882,-71.91892,TC
South Windsor,21.88374,-71.91779,TC
Karmont,21.87945,-71.91698,TC
Richmond,21.86971,-71.91255,TC
Laughland,21.85958,-71.90625,TC
Belmont,21.85169,-71.90015,TC
