City,Latitude,Longitude,Country Code
N'Djamena,12.10672,15.0444,TD
Sarh,9.14555,18.38331,TD
Abéché,13.82916,20.8324,TD
Moundou,8.57437,16.07722,TD
Mongo,12.18514,18.6884,TD
Goz Beida,12.22643,21.40983,TD
Am Timan,11.0433,20.28342,TD
Pala,9.3646,14.90725,TD
Mao,14.12286,15.31189,TD
Laï,9.3972,16.30066,TD
Faya-Largeau,17.9257,19.10428,TD
Doba,8.66389,16.85324,TD
Bongor,10.28088,15.37425,TD
Bol,13.46729,14.71352,TD
Ati,13.2138,18.3393,TD
Fada,17.19186,21.58081,TD
Biltine,14.52727,20.92603,TD
Umm Hājar,13.2954,19.6966,TD
Moussoro,13.64436,16.48954,TD
Massenya,11.40345,16.17037,TD
Massakory,12.99809,15.73195,TD
Massaguet,12.47554,15.43647,TD
Koumra,8.91587,17.55046,TD
Kelo,9.30859,15.80658,TD
Bébédja,8.6761,16.566,TD
Amdjarass,16.06666,22.83536,TD
Iriba,15.11667,22.25,TD
Adré,13.46648,22.19875,TD
Ngama,11.78729,17.15925,TD
Moïssala,8.3404,17.7663,TD
