City,Latitude,Longitude,Country Code
Lomé,6.12874,1.22154,TG
Sokodé,8.98333,1.13333,TG
Kara,9.55111,1.18611,TG
Atakpamé,7.53333,1.13333,TG
Palimé,6.9,0.63333,TG
Bassar,9.25025,0.78213,TG
Tsévié,6.42611,1.21333,TG
Mango,10.35917,0.47083,TG
Dapaong,10.86225,0.20762,TG
Aného,6.22798,1.5919,TG
Vogan,6.33333,1.53333,TG
Tchamba,9.03333,1.41667,TG
Tabligbo,6.58333,1.5,TG
Sotouboua,8.5634,0.98399,TG
Notsé,6.95,1.16667,TG
Niamtougou,9.76806,1.10528,TG
Kandé,9.95778,1.04472,TG
Sinkassé,11.10389,0.00944,TG
Bafilo,9.35,1.26667,TG
Badou,7.58333,0.6,TG
Siou,9.82194,1.18667,TG
Pagouda,9.7525,1.32778,TG
Kountoum,9.11667,0.56667,TG
Koundjoaré,10.94306,0.64139,TG
Koukpan,9.46667,0.28333,TG
Katchamba,9.8875,0.52583,TG
Amlamé,7.46667,0.9,TG
Koutougou,10.05444,1.21056,TG
Zowola Kpoguédé,6.28333,1.58333,TG
Yawaka,9.76667,0.86667,TG
