City,Latitude,Longitude,Country Code
Bangkok,13.75398,100.50144,TH
Chon Buri,13.3622,100.98345,TH
Mueang Samut Prakan,13.5976,100.5972,TH
Hat Yai,7.00836,100.47668,TH
Nonthaburi,13.86075,100.51477,TH
Si Racha,13.17372,100.93111,TH
Amphoe Phra Pradaeng,13.65855,100.53362,TH
Pak Kret,13.91301,100.49883,TH
Surat Thani,9.14011,99.33311,TH
Lampang,18.29232,99.49277,TH
Chanthaburi,12.60961,102.10447,TH
Udon Thani,17.41567,102.78589,TH
Ubon Ratchathani,15.23844,104.84866,TH
Sakon Nakhon,17.16116,104.14725,TH
Rayong,12.68095,101.25798,TH
Phra Nakhon Si Ayutthaya,14.35167,100.57739,TH
Nakhon Sawan,15.70472,100.13717,TH
Nakhon Ratchasima,14.97066,102.10196,TH
Nakhon Pathom,13.8196,100.04427,TH
Khon Kaen,16.44671,102.833,TH
Phuket,7.89059,98.3981,TH
Nakhon Si Thammarat,8.43333,99.96667,TH
Chumphon,10.4957,99.17971,TH
Chiang Rai,19.90858,99.8325,TH
Chiang Mai,18.79038,98.98468,TH
Pattaya,12.93333,100.88333,TH
Kalasin,16.43281,103.50658,TH
Chaiyaphum,15.81047,102.02881,TH
Chachoengsao,13.6882,101.07156,TH
Buriram,14.99433,103.10392,TH
