City,Latitude,Longitude,Country Code
Dushanbe,38.53575,68.77905,TJ
Khujand,40.28256,69.62216,TJ
Isfara,40.12649,70.62526,TJ
Istaravshan,39.9142,69.00328,TJ
Konibodom,40.29414,70.43122,TJ
Kurgan-Tyube,37.83667,68.7775,TJ
Kŭlob,37.91459,69.78454,TJ
Qayroqqum,40.26598,69.79585,TJ
Vahdat,38.55632,69.01354,TJ
Tursunzoda,38.51271,68.23163,TJ
Buston,40.23417,69.69481,TJ
Panjakent,39.49524,67.60931,TJ
Khorugh,37.48974,71.55304,TJ
Taboshar,40.57017,69.64175,TJ
Proletar,40.16713,69.50163,TJ
Konsoy,40.49155,69.70245,TJ
Adrasmon,40.64928,69.98472,TJ
Avzikent,37.80333,69.27722,TJ
Hulbuk,37.80542,69.64516,TJ
Vorukh,39.85125,70.58012,TJ
Shahritus,37.26206,68.13849,TJ
Panj,37.23634,69.09911,TJ
Novobod,39.01084,70.15082,TJ
Murghab,38.17023,73.96674,TJ
Mŭ’minobod,38.10714,70.03213,TJ
Bokhtariyon,37.88176,68.7297,TJ
Abdurahmoni Jomí,37.94636,68.80878,TJ
Kolkhozobod,37.58823,68.65886,TJ
Ishqoshim,36.72484,71.61331,TJ
Shŭrob,40.04605,70.54117,TJ
