City,Latitude,Longitude,Country Code
Dili,-8.55861,125.57361,TL
Aileu,-8.72806,125.56639,TL
Maliana,-8.99167,125.21972,TL
Likisá,-8.5875,125.34194,TL
Suai,-9.31286,125.25648,TL
Ainaro,-8.99241,125.50816,TL
Lospalos,-8.52167,126.99833,TL
Baucau,-8.47572,126.45633,TL
Maubara,-8.61194,125.20611,TL
Venilale,-8.64306,126.37833,TL
Gleno,-8.72389,125.43611,TL
Manatutu,-8.51139,126.01306,TL
Viqueque,-8.8575,126.36472,TL
Same,-9.00417,125.64861,TL
Pante Makasar,-9.2,124.38333,TL
Hatoudo,-9.11946,125.59183,TL
Dare,-8.59273,125.571,TL
Metinaro,-8.53007,125.74163,TL
Atauro,-8.26667,125.60139,TL
Lautem,-8.36423,126.90438,TL
Alas,-9.02072,125.78573,TL
Iliomar,-8.70917,126.82833,TL
Hatolia,-8.81139,125.31833,TL
Fatubessi,-8.74833,125.32611,TL
Fatuberliu,-8.94833,125.87028,TL
Ermera,-8.75222,125.39694,TL
Quelicai,-8.6025,126.56194,TL
Venilale,-8.5825,126.38111,TL
Tutuala,-8.3938,127.25544,TL
Buku Mera,-8.64417,125.39056,TL
