City,Latitude,Longitude,Country Code
Ashgabat,37.95,58.38333,TM
Mary,37.59378,61.83031,TM
Turkmenabat,39.07328,63.57861,TM
Dashoguz,41.83625,59.96661,TM
Balkanabat,39.51075,54.36713,TM
Bayramaly,37.61852,62.16715,TM
Shagadam,40.02216,52.95517,TM
Tejen,37.38338,60.50545,TM
Abadan,38.05415,58.19721,TM
Yolöten,37.29886,62.35975,TM
Kerki,37.83573,65.21058,TM
Änew,37.88754,58.51596,TM
Konye-Urgench,42.32773,59.15442,TM
Kaka,37.34821,59.61431,TM
Kizil-Arvat,38.97644,56.27575,TM
Gumdag,39.20611,54.59056,TM
Bereket,39.24463,55.51536,TM
Bäherden,38.43624,57.43158,TM
Gazojak,41.18746,61.4036,TM
Seydi,39.4816,62.91374,TM
Saýat,38.78393,63.88035,TM
Serhetabat,35.27992,62.34383,TM
Gowurdak,37.81244,66.04656,TM
Farap,39.17037,63.61165,TM
Yylanly,41.83333,59.65,TM
Tagta,41.65041,59.9164,TM
Boldumsaz,42.12824,59.67101,TM
Etrek,37.66114,54.76645,TM
Esenguly,37.46461,53.97256,TM
Yarajy,38.28573,57.67806,TM
