City,Latitude,Longitude,Country Code
Tunis,36.81897,10.16579,TN
Bizerte,37.27442,9.87391,TN
Kairouan,35.6781,10.09633,TN
Sousse,35.82539,10.63699,TN
Sfax,34.74056,10.76028,TN
Aryanah,36.86012,10.19337,TN
Gabès,33.88146,10.0982,TN
Kasserine,35.16758,8.83651,TN
Hammamet,36.4,10.61667,TN
Gafsa,34.425,8.78417,TN
Monastir,35.77799,10.82617,TN
Ben Arous,36.75452,10.22167,TN
Béja,36.72564,9.18169,TN
Mahdia,35.50472,11.06222,TN
Medenine,33.35495,10.50548,TN
La Goulette,36.81825,10.3052,TN
Tataouine,32.92967,10.45177,TN
El Kef,36.17424,8.70486,TN
Radès,36.76946,10.27468,TN
Nabeul,36.45606,10.73763,TN
Jendouba,36.50114,8.78024,TN
Zarzis,33.50398,11.11215,TN
Houmt Souk,33.87576,10.85745,TN
Zaghouan,36.40291,10.14292,TN
Tozeur,33.91968,8.13352,TN
Sidi Bouzid,35.03823,9.48494,TN
Skhira,34.2992,10.06999,TN
Redeyef,34.3827,8.15549,TN
La Mohammedia,36.67446,10.15633,TN
Metlaoui,34.32081,8.40157,TN
