City,Latitude,Longitude,Country Code
Nuku'alofa,-21.13683,-175.20114,TO
Neiafu,-18.65144,-173.98354,TO
Lapaha,-21.17735,-175.1172,TO
Haveluloto,-21.15216,-175.21333,TO
Pangai,-19.81468,-174.35423,TO
Houma,-21.17005,-175.30213,TO
Fangale’ounga,-19.75285,-174.32257,TO
Tatakamotonga,-21.18627,-175.12453,TO
Vaini,-21.19292,-175.17678,TO
‘Ohonua,-21.34135,-174.95656,TO
Kolonga,-21.13333,-175.06667,TO
Vaipoa,-15.94755,-173.78242,TO
Vaimalo,-18.63821,-174.0056,TO
Utulau,-21.18333,-175.26667,TO
Pukotala,-19.67889,-174.28017,TO
Nukuleka,-21.15191,-175.12674,TO
Niutoua,-21.13333,-175.05,TO
Muitoa,-19.65229,-174.29441,TO
Malapo,-21.20112,-175.15456,TO
Lotofoa,-19.74179,-174.305,TO
Koulo,-19.78835,-174.34487,TO
Kolovai,-21.10101,-175.33766,TO
Kanokupolu,-21.0807,-175.33474,TO
Holopeka,-19.78367,-174.34316,TO
Holonga,-21.19258,-175.14282,TO
Hihifo,-15.9544,-173.79616,TO
Falevai,-18.70505,-174.03527,TO
Faleloa,-19.73392,-174.28729,TO
Falehau,-15.94565,-173.76569,TO
Fotua,-19.74925,-174.31748,TO
