City,Latitude,Longitude,Country Code
Port of Spain,10.66668,-61.51889,TT
Chaguanas,10.51667,-61.41667,TT
San Fernando,10.27969,-61.46835,TT
Rio Claro,10.30594,-61.17556,TT
Mon Repos,10.27979,-61.4459,TT
Marabella,10.30618,-61.44671,TT
Laventille,10.64917,-61.49889,TT
Arima,10.63737,-61.28228,TT
Tunapuna,10.65245,-61.38878,TT
Point Fortin,10.17411,-61.68407,TT
Siparia,10.14525,-61.5074,TT
Scarborough,11.18229,-60.73525,TT
Sangre Grande,10.58705,-61.13008,TT
Princes Town,10.27184,-61.37103,TT
Peñal,10.16667,-61.46667,TT
Couva,10.42248,-61.46748,TT
Arouca,10.62877,-61.33487,TT
Tabaquite,10.38824,-61.29704,TT
Diego Martin,10.72081,-61.56616,TT
Debe,10.20846,-61.45273,TT
Valsayn,10.64061,-61.41789,TT
Valencia,10.64988,-61.19993,TT
Toco,10.8333,-60.94642,TT
Talparo,10.5,-61.26667,TT
Speyside,11.29694,-60.53795,TT
South Oropouche,10.22791,-61.54769,TT
Santa Cruz,10.72277,-61.46981,TT
San Juan,10.6579,-61.44566,TT
Saint James,10.67171,-61.53446,TT
Saint Augustine,10.64196,-61.39242,TT
