City,Latitude,Longitude,Country Code
Funafuti,-8.52425,179.19417,TV
Savave Village,-8.02731,178.31351,TV
Alapi Village,-8.52074,179.1968,TV
Fakaifou Village,-8.51758,179.20094,TV
Tanrake Village,-7.24562,177.14511,TV
Vaiaku Village,-8.52544,179.1941,TV
Senala Village,-8.5174,179.19829,TV
Motufoua School,-7.48996,178.69256,TV
Teone Village,-8.49922,179.19502,TV
Teava Village,-6.11005,177.33524,TV
Toga Village,-6.28764,176.31472,TV
Asau Village,-7.49026,178.68016,TV
Tumaseu Village,-7.48784,178.67942,TV
Funafala Village,-8.62975,179.10066,TV
Kulia Village,-6.10819,177.33393,TV
Niulakita Village,-10.791,179.4667,TV
Lolua Village,-5.67398,176.11515,TV
Tokelau Village,-6.28536,176.31534,TV
Temotu Village,-7.46168,178.66748,TV
Amatuku Village,-8.4379,179.17031,TV
Nukualofa Village,-9.37058,179.80785,TV
Pepesala Village,-9.37322,179.80917,TV
Hauma Village,-5.67586,176.11693,TV
Meang Village,-7.20592,177.15025,TV
Tekavatoetoe Village,-8.53493,179.18554,TV
Displaced Atoll Population During WW2,-5.65262,176.07716,TV
Lofeagai Village,-8.48103,179.19233,TV
