City,Latitude,Longitude,Country Code
Kaohsiung,22.61626,120.31333,TW
Taipei,25.05306,121.52639,TW
Tainan City,22.99083,120.21333,TW
Taichung,24.1469,120.6839,TW
Banciao,25.01427,121.46719,TW
Keelung,25.13089,121.74094,TW
Hsinchu,24.80361,120.96861,TW
Taoyuan,24.99368,121.29696,TW
Neihu District,25.0815,121.58809,TW
Hualien City,23.97694,121.60444,TW
New Taipei City,25.06199,121.45703,TW
Douliu,23.70944,120.54333,TW
Yongkang District,23.02444,120.25556,TW
Shulin District,24.99085,121.42199,TW
Sanxia District,24.93448,121.37139,TW
Bade District,24.92981,121.28372,TW
Xizhi District,25.06615,121.65985,TW
Yuanlin,23.95671,120.57608,TW
Yingge District,24.95608,121.3507,TW
Wufeng District,24.0637,120.698,TW
Changhua,24.0692,120.5512,TW
Toufen Township,24.68753,120.90942,TW
Taitung,22.75991,121.14457,TW
Daxi,24.88373,121.29043,TW
Jincheng,24.43415,118.31712,TW
Chiayi City,23.47917,120.44889,TW
Nantou City,23.91566,120.66387,TW
Yilan,24.757,121.753,TW
Shimen District,25.29035,121.56623,TW
Hengchun,22.00417,120.74389,TW
