City,Latitude,Longitude,Country Code
Dar es Salaam,-6.82349,39.26951,TZ
Zanzibar,-6.16394,39.19793,TZ
Dodoma,-6.17221,35.73947,TZ
Mwanza,-2.51667,32.9,TZ
Tanga,-5.06893,39.09875,TZ
Tabora,-5.01622,32.82663,TZ
Sumbawanga,-7.96667,31.61667,TZ
Shinyanga,-3.66393,33.42118,TZ
Musoma,-1.5,33.8,TZ
Moshi,-3.35,37.33333,TZ
Morogoro,-6.82102,37.66122,TZ
Mbeya,-8.9,33.45,TZ
Kigoma,-4.87694,29.62667,TZ
Iringa,-7.76667,35.7,TZ
Bukoba,-1.33167,31.81222,TZ
Arusha,-3.36667,36.68333,TZ
Songea,-10.68333,35.65,TZ
Mtwara,-10.26667,40.18333,TZ
Singida,-4.81629,34.74358,TZ
Mpanda,-6.34379,31.06951,TZ
Babati,-4.21667,35.75,TZ
Lindi,-9.99709,39.71649,TZ
Katumba,-9.23333,33.61667,TZ
Chake Chake,-5.24586,39.76659,TZ
Bagamoyo,-6.44222,38.90422,TZ
Wete,-5.05589,39.72938,TZ
Njombe,-9.34917,34.77167,TZ
Makumbako,-8.85,34.83333,TZ
Kilosa,-6.83333,36.98333,TZ
Kibaha,-6.76667,38.91667,TZ
