City,Latitude,Longitude,Country Code
Kampala,0.31628,32.58219,UG
Gulu,2.77457,32.29899,UG
Jinja,0.43902,33.20317,UG
Mbarara,-0.60467,30.64851,UG
Bwizibwera,-0.59167,30.62861,UG
Lira,2.2499,32.89985,UG
Apac,1.97556,32.53861,UG
Mbale,1.08209,34.17503,UG
Mukono,0.35333,32.75528,UG
Kasese,0.18333,30.08333,UG
Entebbe,0.05621,32.47949,UG
Fort Portal,0.66174,30.2748,UG
Arua,3.02013,30.91105,UG
Tororo,0.69299,34.18085,UG
Soroti,1.71464,33.61113,UG
Njeru,0.44166,33.17917,UG
Masaka,-0.33379,31.73409,UG
Kabale,-1.24857,29.98993,UG
Iganga,0.60917,33.46861,UG
Hoima,1.43314,31.35241,UG
Buwenge,0.64996,33.17128,UG
Busia,0.46588,34.09221,UG
Busembatia,0.77725,33.62364,UG
Bugembe,0.48213,33.24065,UG
Adjumani,3.37786,31.7909,UG
Wobulenzi,0.72833,32.51222,UG
Pallisa,1.145,33.70944,UG
Paidha,2.41669,30.98551,UG
Nebbi,2.47826,31.08893,UG
Masindi,1.67444,31.715,UG
