City,Latitude,Longitude,Country Code
Meyerton pre-WW2,0.19404,-176.48407,UM
Itascatown pre-WW2,0.80776,-176.6185,UM
Johnston,16.7314,-169.52775,UM
Midway,28.21222,-177.37515,UM
Wake,19.30434,166.63612,UM
Baker,0.19471,-176.47644,UM
Jarvis,-0.3719,-159.99321,UM
Palmyra,5.88977,-162.07563,UM
Kamakaiwi Field,0.80343,-176.61698,UM
Navassa II,18.39704,-75.00839,UM
Kingman,6.38225,-162.36726,UM
Navassa,18.39884,-75.01117,UM
Millersville - pre-WW2 settlement,-0.37027,-160.00453,UM
Kingman Reef,6.39948,-162.40015,UM
