City,Latitude,Longitude,Country Code
Los Angeles,34.05223,-118.24368,US
New York,40.71427,-74.00597,US
Washington,38.89511,-77.03637,US
Philadelphia,39.95238,-75.16362,US
San Antonio,29.42412,-98.49363,US
Houston,29.76328,-95.36327,US
Chicago,41.85003,-87.65005,US
Phoenix,33.44838,-112.07404,US
Brooklyn,40.6501,-73.94958,US
Atlanta,33.749,-84.38798,US
Indianapolis,39.76838,-86.15804,US
Austin,30.26715,-97.74306,US
Oklahoma City,35.46756,-97.51643,US
Columbus,39.96118,-82.99879,US
Boston,42.35843,-71.05977,US
Denver,39.73915,-104.9847,US
Sacramento,38.58157,-121.4944,US
Montgomery,32.36681,-86.29997,US
Tallahassee,30.43826,-84.28073,US
Little Rock,34.74648,-92.28959,US
Miami,25.77427,-80.19366,US
Jacksonville,30.33218,-81.65565,US
Springfield,39.80172,-89.64371,US
Jackson,32.29876,-90.18481,US
Charlotte,35.22709,-80.84313,US
Memphis,35.14953,-90.04898,US
Nashville,36.16589,-86.78444,US
Dallas,32.78306,-96.80667,US
Fort Worth,32.72541,-97.32085,US
Columbia,34.00071,-81.03481,US
