City,Latitude,Longitude,Country Code
Montevideo,-34.90328,-56.18816,UY
Salto,-31.38333,-57.96667,UY
Paysandú,-32.3171,-58.08072,UY
Tacuarembó,-31.71694,-55.98111,UY
Rivera,-30.90534,-55.55076,UY
Maldonado,-34.9,-54.95,UY
Las Piedras,-34.7302,-56.21915,UY
Mercedes,-33.2524,-58.03047,UY
Melo,-32.37028,-54.1675,UY
Artigas,-30.4,-56.46667,UY
Treinta y Tres,-33.23333,-54.38333,UY
San José de Mayo,-34.3375,-56.71361,UY
Rocha,-34.48333,-54.33333,UY
Minas,-34.37589,-55.23771,UY
Durazno,-33.38056,-56.52361,UY
Colonia del Sacramento,-34.46262,-57.83976,UY
San Carlos,-34.79123,-54.91824,UY
Fray Bentos,-33.11651,-58.31067,UY
Florida,-34.09556,-56.21417,UY
Trinidad,-33.5165,-56.89957,UY
Punta del Este,-34.94747,-54.93382,UY
Canelones,-34.52278,-56.27778,UY
Bella Unión,-30.25966,-57.59919,UY
Santa Lucía,-34.45333,-56.39056,UY
Rosario,-34.31667,-57.35,UY
Río Branco,-32.59802,-53.38583,UY
Progreso,-34.66737,-56.21758,UY
Piriápolis,-34.86287,-55.27471,UY
Paso de los Toros,-32.81667,-56.51667,UY
Paso de Carrasco,-34.86028,-56.05222,UY
