City,Latitude,Longitude,Country Code
Kingstown,13.15527,-61.22742,VC
Georgetown,13.28054,-61.1185,VC
Byera Village,13.25636,-61.11954,VC
Biabou,13.1943,-61.13904,VC
Barrouallie,13.23676,-61.27275,VC
Port Elizabeth,13.01102,-61.23548,VC
Chateaubelair,13.29069,-61.24043,VC
Layou,13.20175,-61.27014,VC
Dovers,12.89186,-61.18521,VC
Edinboro,13.15981,-61.23644,VC
Calliaqua,13.12867,-61.19178,VC
Vermont,13.20423,-61.22466,VC
Troumaka,13.28011,-61.25762,VC
Spring Village,13.26212,-61.25068,VC
Rosehall,13.27255,-61.24228,VC
Richland Park,13.19627,-61.17008,VC
Questelles,13.17619,-61.24893,VC
Peruvian Vale,13.17711,-61.14356,VC
New Sandy Bay Village,13.35113,-61.13072,VC
Mesopotamia,13.17923,-61.1681,VC
Lovell Village,12.88352,-61.18786,VC
Greiggs,13.21128,-61.16284,VC
Fancy,13.38132,-61.16854,VC
Derrick,12.99245,-61.26204,VC
Colonarie,13.24041,-61.11641,VC
Clare Valley,13.17959,-61.25657,VC
Rose Bank,13.28418,-61.25825,VC
Owia,13.37522,-61.144,VC
Rabacca,13.30322,-61.11721,VC
Clifton,12.59706,-61.41739,VC
