City,Latitude,Longitude,Country Code
Caracas,10.48801,-66.87919,VE
Maracaibo,10.66663,-71.61245,VE
Valencia,10.16202,-68.00765,VE
Maracay,10.23535,-67.59113,VE
Barquisimeto,10.0647,-69.35703,VE
Ciudad Guayana,8.35122,-62.64102,VE
Ciudad Bolivar,8.12923,-63.54086,VE
Barcelona,10.13625,-64.68618,VE
Maturín,9.74569,-63.18323,VE
Cumaná,10.45397,-64.18256,VE
Guanare,9.04183,-69.74206,VE
Puerto Ayacucho,5.66049,-67.58343,VE
Merida,8.58972,-71.15611,VE
Los Teques,10.34447,-67.04325,VE
Coro,11.4045,-69.67344,VE
Barinas,8.62261,-70.20749,VE
San Cristóbal,7.76694,-72.225,VE
San Fernando de Apure,7.88782,-67.47236,VE
Tucupita,9.05806,-62.05,VE
San Juan de los Morros,9.91152,-67.35381,VE
San Felipe,10.33991,-68.74247,VE
San Carlos,9.66124,-68.58268,VE
La Guaira,10.60156,-66.93293,VE
Guatire,10.474,-66.54241,VE
El Tigre,8.88902,-64.2527,VE
El Limón,10.30589,-67.63212,VE
Punta Cardón,11.65806,-70.215,VE
Puerto Cruz,10.21382,-64.6328,VE
Puerto Cabello,10.47306,-68.0125,VE
Porlamar,10.95771,-63.86971,VE
