City,Latitude,Longitude,Country Code
Road Town,18.42693,-64.62079,VG
The Settlement,18.71983,-64.3167,VG
Spanish Town,18.4481,-64.43474,VG
Nottingham,18.43286,-64.57838,VG
East End,18.44024,-64.55638,VG
Belle Vue,18.44615,-64.75151,VG
Wesley Will,18.44676,-64.60223,VG
Maya Cove,18.41667,-64.56667,VG
Long Swamp,18.43333,-64.56667,VG
Little Harbour,18.44004,-64.73323,VG
Lettsome Settlement,18.45354,-64.72359,VG
Leonards,18.4275,-64.64111,VG
Kingstown,18.41784,-64.59952,VG
Freshwater Pond,18.39142,-64.68132,VG
Cane Garden Bay,18.42693,-64.65701,VG
Cotton Ground,18.44721,-64.75239,VG
Spring Bay Land,18.43328,-64.44188,VG
Rhymers Estate,18.43503,-64.43504,VG
The Country,18.43207,-64.43641,VG
Crab Hill,18.45238,-64.42996,VG
Little Dix Bay,18.45865,-64.43398,VG
Pond Bay,18.47013,-64.41334,VG
Bakers Bay,18.4929,-64.38523,VG
North Sound,18.49058,-64.38307,VG
The Bond,18.48976,-64.39242,VG
North Sound Settlement,18.49722,-64.38481,VG
Dawson,18.39177,-64.7056,VG
Belmont,18.3923,-64.70086,VG
West End,18.38802,-64.69775,VG
Long Bay,18.39658,-64.68612,VG
