City,Latitude,Longitude,Country Code
Charlotte Amalie,18.3419,-64.9307,VI
St Croix,17.72751,-64.74698,VI
Christiansted,17.74681,-64.70557,VI
Cruz Bay,18.33134,-64.79375,VI
La Grande Princesse,17.75747,-64.73625,VI
Frederiksted,17.71233,-64.88179,VI
Ruan Bay,17.69164,-64.8432,VI
St John Island,18.33968,-64.74958,VI
Upper Bethlehem,17.71553,-64.79209,VI
Adelphi,18.34829,-64.98348,VI
Adrian,18.34134,-64.76847,VI
Altona,17.7447,-64.69403,VI
Altona,18.33885,-64.94876,VI
Anguilla,17.70664,-64.77987,VI
Annaberg,17.71164,-64.77431,VI
Annaberg,18.36301,-64.73014,VI
Annaly,17.7497,-64.85431,VI
Annas Hope,17.72831,-64.72875,VI
Barrett,18.36523,-64.94598,VI
Beck Grove,17.72525,-64.85015,VI
Beeston Hill,17.7381,-64.72462,VI
Bellevue,17.74775,-64.73348,VI
Bellevue,18.32523,-64.92042,VI
Belvedere,17.77636,-64.79876,VI
Benner,18.32218,-64.86181,VI
Bethany,18.33107,-64.78292,VI
Bethlehem Old Work,17.73136,-64.79376,VI
Bettys Hope,17.6922,-64.81653,VI
Betzys Jewell,17.75942,-64.7957,VI
Blessing,17.71386,-64.76459,VI
