City,Latitude,Longitude,Country Code
Port Vila,-17.73648,168.31366,VU
Luganville,-15.51989,167.16235,VU
Sola,-13.87611,167.55167,VU
Port-Olry,-15.04175,167.07265,VU
Norsup,-16.06536,167.39714,VU
Isangel,-19.54167,169.28167,VU
Lakatoro,-16.09992,167.41636,VU
Saratamata,-15.29031,167.96679,VU
Walourigi,-15.31667,167.85,VU
Tsuréviu,-15.1,166.8,VU
Forari,-17.66667,168.51667,VU
Port-Vato,-16.33333,168.03333,VU
Pango,-17.78333,168.28333,VU
Ounavahé,-15.08264,166.62723,VU
Olpoï,-14.87146,166.55509,VU
Melsisi,-15.73666,168.1341,VU
Lonorore,-15.86063,168.17111,VU
Lenakel,-19.53087,169.2676,VU
Lamap,-16.43333,167.8,VU
Hog Harbour,-15.13333,167.1,VU
Fanla,-16.13333,168.13333,VU
Emiotouan,-16.26667,167.98333,VU
Bounlap,-15.95724,168.26887,VU
Avira,-14.2,167.56667,VU
Waisisi,-19.47463,169.40132,VU
Veutumboso,-13.90323,167.45223,VU
Varsaré,-15.88579,168.26909,VU
Valesdir,-16.78333,168.16667,VU
Tolomako,-15.16667,166.81667,VU
Tasmat,-15.21,166.66025,VU
