City,Latitude,Longitude,Country Code
Mata-Utu,-13.28163,-176.17453,WF
Utufua,-13.34261,-176.19435,WF
Liku,-13.26852,-176.16586,WF
Falaleu,-13.29266,-176.18328,WF
Alele,-13.24667,-176.18341,WF
Vaitupu,-13.227,-176.18834,WF
Leava,-14.29333,-178.15833,WF
Halalo,-13.3454,-176.21464,WF
Ahoa,-13.28745,-176.23803,WF
Akaka,-13.27729,-176.17066,WF
Alo,-14.31096,-178.11094,WF
Vele,-14.31021,-178.06538,WF
Vaimalau,-13.31322,-176.24167,WF
Vailala,-13.22173,-176.20551,WF
Tufuone,-13.22449,-176.21088,WF
Tepa,-13.32381,-176.18826,WF
Teesi,-13.35096,-176.20585,WF
Tavai,-14.24495,-178.16902,WF
Alofitai,-14.32632,-178.05688,WF
Mua,-13.34169,-176.18701,WF
Kolopopo,-13.34703,-176.21512,WF
Kolia,-14.30751,-178.09683,WF
Haatofo,-13.32807,-176.19058,WF
Haafusia,-13.30034,-176.18362,WF
Gahi,-13.33793,-176.18774,WF
Fineveke,-13.32624,-176.2213,WF
Tutu'ila,-13.34315,-176.21751,WF
Mala'efo'ou,-13.34544,-176.2016,WF
Lavegahau,-13.31367,-176.18825,WF
Mala'e,-13.24435,-176.19346,WF
