City,Latitude,Longitude,Country Code
Apia,-13.83333,-171.76666,WS
Mulifanua,-13.83183,-172.03602,WS
Asau,-13.51963,-172.63784,WS
Malie,-13.80044,-171.8469,WS
Faleula,-13.79457,-171.83126,WS
Vaiusu,-13.82678,-171.79333,WS
Siusega,-13.84432,-171.81397,WS
Fasito‘outa,-13.81163,-171.94063,WS
Afega,-13.79726,-171.85308,WS
Nofoali‘i,-13.8217,-171.95873,WS
Safotu,-13.45132,-172.40177,WS
Lufilufi,-13.87449,-171.59857,WS
Leulumoega,-13.82297,-171.96127,WS
Vailima,-13.86417,-171.76126,WS
Vailoa,-13.75551,-172.30698,WS
Solosolo,-13.87504,-171.64181,WS
Satupa‘itea,-13.76593,-172.32686,WS
Satapuala,-13.83535,-171.97963,WS
Samamea,-13.93375,-171.53122,WS
Safotulafai,-13.67147,-172.17768,WS
Lotofagā,-13.97643,-171.85781,WS
Gataivai,-13.7736,-172.38802,WS
Falefa,-13.88695,-171.58805,WS
Vavau,-14.04268,-171.54855,WS
Vaitele,-13.82933,-171.80604,WS
Vaisala,-13.51439,-172.67522,WS
Vaipu’a,-13.67783,-172.63375,WS
Vaimoso,-13.83655,-171.77713,WS
Vaie’e,-13.98811,-171.83095,WS
Vaiala,-13.82877,-171.75396,WS
