City,Latitude,Longitude,Country Code
Pristina,42.67272,21.16688,XK
Prizren,42.21389,20.73972,XK
Mitrovica,42.88333,20.86667,XK
Gjakova,42.38028,20.43083,XK
Ferizaj,42.37056,21.15528,XK
Suva Reka,42.35861,20.825,XK
Gjilan,42.46045,21.46986,XK
Glogovac,42.62833,20.89389,XK
Deçan,42.54018,20.28793,XK
Peja,42.65913,20.28828,XK
Podujevo,42.91056,21.19306,XK
Dragash,42.0265,20.65333,XK
Banja,42.72694,20.39139,XK
Lëvoshë,42.66694,20.25667,XK
Lloqan,42.52444,20.28083,XK
Vrbica,42.4775,21.52528,XK
Štrbulovo,42.6075,20.88306,XK
Pograxhë,42.63583,20.63639,XK
Prilep,42.5075,20.31778,XK
Pepiq,42.72417,20.1275,XK
Orčuša,42.04222,20.59889,XK
Orahovac,42.39944,20.65472,XK
Obiliq,42.68694,21.07028,XK
Deiq,42.61139,20.55861,XK
Novo Selo,42.785,21.02028,XK
Negrovc,42.57917,20.82639,XK
Mirovac,42.91489,21.25912,XK
Medregovac,42.84778,21.39778,XK
Lëbushë,42.56306,20.29083,XK
Ljubovište,42.05667,20.66306,XK
