City,Latitude,Longitude,Country Code
Mamoudzou,-12.78234,45.22878,YT
Dzaoudzi,-12.78339,45.25693,YT
Dembeni,-12.8436,45.18436,YT
Koungou,-12.73361,45.20417,YT
Bandraboua,-12.7044,45.12231,YT
Mtsamboro,-12.69982,45.06894,YT
Sada,-12.85055,45.10205,YT
Tsingoni,-12.78722,45.10278,YT
Ouangani,-12.84639,45.13611,YT
Passamainty,-12.80201,45.20818,YT
Pamandzi,-12.79674,45.27938,YT
Acoua,-12.72391,45.05819,YT
M'Tsangamouji,-12.75944,45.08361,YT
Majikavo Koropa,-12.74701,45.22058,YT
Labattoir,-12.77698,45.28234,YT
Chiconi,-12.83333,45.11056,YT
Bandrele,-12.91276,45.19256,YT
Chirongui,-12.93194,45.14833,YT
Bouéni,-12.9025,45.07611,YT
Kani-Kéli,-12.95361,45.10333,YT
Dzumogne,-12.71667,45.11667,YT
Mtsahara,-12.68137,45.08274,YT
Handréma,-12.68112,45.09965,YT
Mtsangamboua,-12.69033,45.10926,YT
Hamjago,-12.68832,45.0745,YT
Mtsangadoua,-12.71112,45.05118,YT
Longoni,-12.73426,45.16298,YT
Kangani,-12.73186,45.18694,YT
Trévani,-12.73437,45.19861,YT
Majikavo Lamir,-12.75572,45.22968,YT
