City,Latitude,Longitude,Country Code
Pretoria,-25.74486,28.18783,ZA
Durban,-29.8579,31.0292,ZA
Johannesburg,-26.20227,28.04363,ZA
Soweto,-26.26781,27.85849,ZA
Cape Town,-33.92584,18.42322,ZA
Bloemfontein,-29.12107,26.214,ZA
Benoni,-26.18848,28.32078,ZA
Pietermaritzburg,-29.61679,30.39278,ZA
Bhisho,-32.84721,27.44218,ZA
Mbombela,-25.47512,30.96935,ZA
Port Elizabeth,-33.96109,25.61494,ZA
Polokwane,-23.90449,29.46885,ZA
Kimberley,-28.73226,24.76232,ZA
Rustenburg,-25.66756,27.24208,ZA
Uitenhage,-33.75562,25.40074,ZA
East London,-33.01529,27.91162,ZA
Worcester,-33.64651,19.44852,ZA
Stellenbosch,-33.93462,18.86676,ZA
Alberton,-26.26786,28.12225,ZA
Richards Bay,-28.78301,32.03768,ZA
Emalahleni,-25.87133,29.23323,ZA
Welkom,-27.97742,26.73506,ZA
Virginia,-28.10391,26.86593,ZA
Vereeniging,-26.67313,27.92615,ZA
Vanderbijlpark,-26.71171,27.83795,ZA
Mthatha,-31.58893,28.78443,ZA
Thembisa,-25.99636,28.2268,ZA
Nigel,-26.43138,28.47713,ZA
Randburg,-26.0941,28.00123,ZA
Queenstown,-31.89756,26.87533,ZA
